full_name,age,birthday_GMT,league,position,Current Club,nationality,gender
Ashley Barnes,32,10/30/1989,Premier League,Forward,Burnley,England,MALE
Ashley Westwood,32,4/1/1990,Premier League,Midfielder,Burnley,England,MALE
Ashley Young,37,7/9/1985,Premier League,Midfielder,Manchester United,England,MALE
Asmir Begovi?,35,6/20/1987,Premier League,Goalkeeper,AFC Bournemouth,Bosnia and Herzegovina,MALE
Aymeric Laporte,28,5/27/1994,Premier League,Defender,Manchester City,France,MALE
Ayoze Perez,29,7/29/1993,Premier League,Forward,Newcastle United,Spain,MALE
Bakary Sako,34,4/26/1988,Premier League,Midfielder,Crystal Palace,Mali,MALE
Ben Chilwell,25,12/21/1996,Premier League,Defender,Leicester City,England,MALE
Ben Davies,29,4/24/1993,Premier League,Defender,Tottenham Hotspur,Wales,MALE
Ben Foster,39,4/3/1983,Premier League,Goalkeeper,Watford,England,MALE
Ben Gibson,29,1/15/1993,Premier League,Defender,Burnley,England,MALE
Ben Hamer,34,11/20/1987,Premier League,Goalkeeper,Huddersfield Town,England,MALE
Ben Johnson,22,1/24/2000,Premier League,Forward,West Ham United,England,MALE
Ben Mee,33,9/21/1989,Premier League,Defender,Burnley,England,MALE
Ben White,25,10/8/1997,Premier League,Defender,Brighton & Hove Albion,England,MALE
Ben Wilmot,23,11/4/1999,Premier League,Defender,Watford,England,MALE
Benjamin Mendy,28,7/17/1994,Premier League,Defender,Manchester City,France,MALE
Beram Kayal,34,5/2/1988,Premier League,Midfielder,Brighton & Hove Albion,Israel,MALE
Bernard Anício Caldeira Duarte,30,9/8/1992,Premier League,Midfielder,Everton,Brazil,MALE
Bernardo,27,5/14/1995,Premier League,Defender,Brighton & Hove Albion,Brazil,MALE
Bernardo Silva,28,8/10/1994,Premier League,Midfielder,Manchester City,Portugal,MALE
Bernd Leno,30,3/4/1992,Premier League,Goalkeeper,Arsenal,Germany,MALE
Bobby Reid,29,2/2/1993,Premier League,Midfielder,Cardiff City,England,MALE
Brian Murphy,39,5/7/1983,Premier League,Goalkeeper,Cardiff City,Republic of Ireland,MALE
Bright Enobakhare,24,2/8/1998,Premier League,Forward,Wolverhampton Wanderers,England,MALE
Bruno Écuélé Manga,34,7/16/1988,Premier League,Defender,Cardiff City,Gabon,MALE
Bruno Saltor Grau,42,10/1/1980,Premier League,Defender,Brighton & Hove Albion,Spain,MALE
Caglar Söyüncü,26,5/23/1996,Premier League,Defender,Leicester City,Turkey,MALE
Callum Hudson-Odoi,21,11/7/2000,Premier League,Midfielder,Chelsea,England,MALE
Callum Paterson,28,10/13/1994,Premier League,Defender,Cardiff City,Scotland,MALE
Callum Roberts,25,4/14/1997,Premier League,Forward,Newcastle United,England,MALE
Callum Slattery,23,2/8/1999,Premier League,Midfielder,Southampton,England,MALE
